rho, F, G
0.01, 24.17910876533088, 2.905705220159332
0.02, 19.4104205323354, 2.766849704307645
0.03, 16.883595636551526, 2.6814297096974844
0.04, 15.210289398631229, 2.6186891241022896
0.05, 13.981564396928531, 2.5686895331412116
0.06, 13.022995774005162, 2.5269087978777445
0.07, 12.244691094913206, 2.490893717887151
0.08, 11.59452698925071, 2.4591591557626398
0.09, 11.039721708293278, 2.430735388202486
0.1, 10.558390198639838, 2.404953081294618
0.11, 10.135237443150876, 2.381330141132934
0.12, 9.75917890151267, 2.3595074209118128
0.13, 9.421940827695224, 2.339209931505658
0.14, 9.117194469462202, 2.320222282807365
0.15, 8.839997868131762, 2.3023725056681106
0.16, 8.586423265406301, 2.285521034292587
0.17, 8.353300947476814, 2.2695529877725575
0.18, 8.138038600765771, 2.2543726294930266
0.19, 7.938491064785831, 2.239899304613923
0.2, 7.752864574758101, 2.2260644052597325
0.21, 7.579645135215605, 2.2128090656769137
0.22, 7.417544111800535, 2.2000823857907803
0.23, 7.265456326430468, 2.1878400437859318
0.24, 7.122427376681438, 2.1760431994947043
0.25, 6.987627858225098, 2.164657618191235
0.26, 6.860332820841734, 2.1536529635386814
0.27, 6.73990523967235, 2.143002221848887
0.28, 6.625782600707348, 2.13268122935369
0.29, 6.5174659260085415, 2.1226682810701654
0.3, 6.41451072801231, 2.112943804873521
0.31, 6.316519502270381, 2.1034900881139986
0.32, 6.22313545689576, 2.0942910468991647
0.33, 6.134037243557912, 2.085332030268417
0.34, 6.048934505220069, 2.0765996530934516
0.35, 5.967564094241589, 2.068081652776099
0.36, 5.889686844055765, 2.059766765776143
0.37, 5.8150848005984965, 2.0516446207542103
0.38, 5.7435588376240805, 2.043705645708208
0.39, 5.674926594192712, 2.0359409869530722
0.4, 5.609020683834824, 2.028342438170265
0.41, 5.545687133852966, 2.020902378056485
0.42, 5.484784020413034, 2.013613715346228
0.43, 5.4261802708840925, 2.006469840182236
0.44, 5.3697546096014745, 1.9994645809710985
0.45, 5.315394627076501, 1.9925921659952814
0.46, 5.262995955832734, 1.9858471891636897
0.47, 5.212461538649797, 1.9792245793746983
0.48, 5.163700977148777, 1.9727195730422267
0.49, 5.116629950442784, 1.966327689399447
0.5, 5.071169695069919, 1.9600447082485803
0.51, 5.027246538677388, 1.9538666498706034
0.52, 4.98479148097794, 1.947789756847099
0.53, 4.943739816388172, 1.9418104775791118
0.54, 4.904030793510518, 1.935925451315653
0.55, 4.865607307259951, 1.9301314945282588
0.56, 4.828415619981329, 1.9244255884883765
0.57, 4.792405108369115, 1.91880486792187
0.58, 4.757528033400668, 1.9132666106300307
0.59, 4.723739330837776, 1.9078082279795647
0.6, 4.690996420147273, 1.902427256175324
0.61, 4.659259029947578, 1.8971213482394214
0.62, 4.62848903830993, 1.8918882666289143
0.63, 4.598650326435835, 1.8867258764317836
0.64, 4.569708644400134, 1.8816321390874302
0.65, 4.541631487795648, 1.8766051065837186
0.66, 4.514387984243514, 1.8716429160876336
0.67, 4.487948788845691, 1.8667437849710746
0.68, 4.462285987754848, 1.861906006197248
0.69, 4.4373730091237, 1.8571279440366073
0.70, 4.413184540772492, 1.8524080300843644
0.71, 4.389696453981036, 1.8477447595543421
0.72, 4.366885732871619, 1.8431366878263733
0.73, 4.344730408902268, 1.8385824272266136
0.74, 4.323209500037036, 1.8340806440220927
0.75, 4.302302954201991, 1.82963005561253
0.76, 4.281991596673028, 1.8252294279040262
0.77, 4.262257081075014, 1.8208775728505862
0.78, 4.24308184370169, 1.8165733461507467
0.79, 4.22444906089245, 1.8123156450876097
0.8, 4.206342609226148, 1.808103406501693
0.81, 4.188747028313585, 1.8039356048868418
0.82, 4.171647485989695, 1.7998112506003183
